,page,/find-a-job,/universal-credit,/government/collections/financial-support-for-businesses-during-coronavirus-covid-19,max,median,mean,min
4555,/world/living-in-azerbaijan,0.69370914,0.7167328,0.702355,0.7167328,0.702355,0.7042656,0.69370914
4556,/government/organisations/high-speed-two-limited/services-information,0.7166673,0.67861664,0.69305855,0.7166673,0.69305855,0.6961141,0.67861664
4557,/what-you-must-do-as-a-cis-subcontractor/get-paid,0.71664035,0.66161716,0.6600401,0.71664035,0.66161716,0.6794326,0.6600401
4558,/government/publications/dwp-workforce-management-information-june-2021,0.6663457,0.7151995,0.71647376,0.71647376,0.7151995,0.6993396,0.6663457
4559,/guidance/legal-background-to-expenses-payments-and-benefits-480-chapter-1,0.7164513,0.68151706,0.7027996,0.7164513,0.7027996,0.70025593,0.68151706
4560,/government/publications/passport-photo-eye-distance-template,0.6983005,0.71640384,0.704447,0.71640384,0.704447,0.70638376,0.6983005
4561,/how-to-register-a-trade-mark/after-you-apply,0.65319055,0.71631384,0.7034041,0.71631384,0.7034041,0.6909695,0.65319055
4562,/complain-ofsted-report,0.6669617,0.7160085,0.70871824,0.7160085,0.70871824,0.69722944,0.6669617
4563,/government/publications/pay-and-work-rights-complaints,0.65843993,0.7159137,0.70831805,0.7159137,0.70831805,0.6942239,0.65843993
4564,/widowed-parents-allowance/what-youll-get,0.6565009,0.71073645,0.7159116,0.7159116,0.71073645,0.69438297,0.6565009
4565,/set-up-limited-company,0.68632466,0.71587133,0.6996656,0.71587133,0.6996656,0.7006205,0.68632466
4566,/send-fit-note,0.6570205,0.71573126,0.7023294,0.71573126,0.7023294,0.6916937,0.6570205
4567,/correct-birth-registration/who-can-apply,0.6642692,0.7156212,0.70699257,0.7156212,0.70699257,0.6956277,0.6642692
4568,/guidance/skills-accelerator-apply-now,0.71559215,0.6964639,0.6786666,0.71559215,0.6964639,0.6969075,0.6786666
4569,/government/publications/visa-fees-transparency-data,0.6559299,0.7151671,0.7155714,0.7155714,0.7151671,0.69555616,0.6559299
4570,/find-an-immigration-adviser/hiring-an-adviser,0.654729,0.7154702,0.7081327,0.7154702,0.7081327,0.69277734,0.654729
4571,/government/collections/hm-revenue-and-customs-service-availability-and-issues,0.71470994,0.71525204,0.70068467,0.71525204,0.71470994,0.71021557,0.70068467
4572,/biometric-residence-permits/report-problem,0.68292165,0.7151585,0.6963946,0.7151585,0.6963946,0.69815826,0.68292165
4573,/vehicles-can-drive,0.6884288,0.7151079,0.6965782,0.7151079,0.6965782,0.7000384,0.6884288
4574,/help/accessibility-statement,0.66104174,0.7150844,0.7086012,0.7150844,0.7086012,0.6949091,0.66104174
4575,/graduate-visa/course-you-studied,0.65458065,0.71506995,0.71043694,0.71506995,0.71043694,0.69336253,0.65458065
4576,/using-somebody-elses-intellectual-property/copyright,0.7150303,0.6632881,0.68121105,0.7150303,0.68121105,0.68650985,0.6632881
4577,/standard-visitor-visa/extend-your-stay,0.65412426,0.7149597,0.7071963,0.7149597,0.7071963,0.6920934,0.65412426
4578,/government/publications/an-introduction-to-the-hong-kong-british-national-overseas-visa,0.65574604,0.7148959,0.71278656,0.7148959,0.71278656,0.6944761,0.65574604
4579,/government/publications/british-forces-air-strikes-in-iraq-monthly-list/raf-air-strikes-in-iraq-and-syria-march-2019,0.6817835,0.7052392,0.7148442,0.7148442,0.7052392,0.7006223,0.6817835
4580,/government/publications/the-impact-of-mmc-use-on-home-building-delivery-phases/monitoring-and-measuring-research-study-impact-of-mmc-on-the-delivery-of-homes,0.71479994,0.6747613,0.6765915,0.71479994,0.6765915,0.68871754,0.6747613
4581,/settled-status-eu-citizens-families/if-you-have-permanent-residence-or-indefinite-leave-to-remain,0.6696545,0.6953176,0.71465987,0.71465987,0.6953176,0.69321066,0.6696545
4582,/help/cookie-details,0.675104,0.71459,0.6947741,0.71459,0.6947741,0.6948227,0.675104
4583,/employment-support-allowance/print,0.66829026,0.7144948,0.6992222,0.7144948,0.6992222,0.69400245,0.66829026
4584,/government/organisations/environment-agency,0.7119212,0.71438307,0.691485,0.71438307,0.7119212,0.70592976,0.691485
4585,/government/collections/wuhan-novel-coronavirus,0.679548,0.71436095,0.6964912,0.71436095,0.6964912,0.69680005,0.679548
4586,/topic/environmental-management/land-management,0.7141817,0.6671145,0.6573914,0.7141817,0.6671145,0.67956257,0.6573914
4587,/guidance/eu-business-services,0.6656883,0.7138785,0.70045465,0.7138785,0.70045465,0.6933405,0.6656883
4588,/types-of-british-nationality/british-protected-person,0.7136732,0.65579635,0.67246646,0.7136732,0.67246646,0.6806453,0.65579635
4589,/cael-eich-pensiwn-y-wladwriaeth,0.67249864,0.71362257,0.7048707,0.71362257,0.7048707,0.69699734,0.67249864
4590,/getting-an-mot/retests,0.6851051,0.7135965,0.6931561,0.7135965,0.6931561,0.69728595,0.6851051
4591,/guidance/pension-administrators-lump-sum-death-benefit-payments,0.6880634,0.7135557,0.7115207,0.7135557,0.7115207,0.70437986,0.6880634
4592,/government/publications/form-c650-application-notice-to-vary-or-set-aside-an-order-in-relation-to-children-drug-andor-alcohol-toxicology-test-after-2010,0.66941565,0.71354544,0.6983597,0.71354544,0.6983597,0.69377357,0.66941565
4593,/access-to-work/print,0.70173484,0.71346235,0.6970527,0.71346235,0.70173484,0.70408326,0.6970527
4594,/government/organisations/higher-education-funding-council-for-england,0.66575664,0.7133218,0.7101698,0.7133218,0.7101698,0.6964161,0.66575664
4595,/fixed-term-contracts,0.65204287,0.71329147,0.7084812,0.71329147,0.7084812,0.6912718,0.65204287
4596,/guidance/providing-services-to-any-country-in-the-eu-iceland-liechtenstein-norway-or-switzerland-after-eu-exit,0.65858495,0.7124005,0.71309835,0.71309835,0.7124005,0.6946946,0.65858495
4597,/legal-separation,0.6540449,0.7129756,0.7045798,0.7129756,0.7045798,0.69053346,0.6540449
4598,/life-in-prison/vulnerable-prisoners,0.6700581,0.6954355,0.71292096,0.71292096,0.6954355,0.6928048,0.6700581
4599,/government/publications/minimum-standards-2018-to-2019,0.7129092,0.6814544,0.68896675,0.7129092,0.68896675,0.69444346,0.6814544
4600,/government/publications/esfa-update-28-july-2021/esfa-update-further-education-28-july-2021,0.6941668,0.6889472,0.7127835,0.7127835,0.6941668,0.6986325,0.6889472
4601,/passport-interview-office,0.6750494,0.712699,0.69602203,0.712699,0.69602203,0.69459015,0.6750494
4602,/government/publications/dbs-national-security-vetting-solution-guidance-for-subjects/uksv-national-security-vetting-solutions-hints-and-tips-for-completing-your-e-form-application,0.65144277,0.71265894,0.7093449,0.71265894,0.7093449,0.6911488,0.65144277
4603,/government/publications/child-benefit-child-left-approved-education-or-training-ch459,0.6521104,0.71261734,0.70606494,0.71261734,0.70606494,0.6902642,0.6521104
4604,/government/publications/pensions-and-insurance-tracing-and-letter-forwarding-service,0.7125692,0.7044995,0.7108448,0.7125692,0.7108448,0.7093045,0.7044995
4605,/government/publications/security-check-counter-terrorist-check-questionnaire-nsv001,0.6956758,0.71252584,0.6976352,0.71252584,0.6976352,0.7019456,0.6956758
4606,/government/publications/public-list-of-active-trade-unions-official-list-and-schedule/trade-unions-the-current-list-and-schedule,0.6491005,0.7122014,0.70480585,0.7122014,0.70480585,0.6887026,0.6491005
4607,/government/groups/defence-awarding-organisation,0.70787936,0.6887449,0.712115,0.712115,0.70787936,0.7029131,0.6887449
4608,/become-an-mot-station/meeting-ongoing-standards,0.68011236,0.711904,0.69014245,0.711904,0.69014245,0.69405293,0.68011236
4609,/government/publications/advice-for-decision-making-staff-guide,0.6543677,0.7115307,0.7032563,0.7115307,0.7032563,0.68971825,0.6543677
4610,/government/organisations/uk-government-investments,0.6822179,0.7114989,0.70570785,0.7114989,0.70570785,0.6998082,0.6822179
