page path,document type,document supertype,number of sessions that visit this page,number of sessions where this page is an entrance hit,number of sessions where this page is an exit hit,number of sessions where this page is both an entrance and exit hit,tfdf_max,label
/expenses-and-benefits-clothing/whats-exempt,guide,services,2,0,0,0,2,
/british-national-overseas-bno-visa/your-family-members,guide,services,8,2,2,0,2,
/legal-aid/eligibility,guide,services,5,2,0,0,2,
/tell-hmrc-change-of-details/relationship-or-family-changes,guide,services,12,3,0,0,2,
/government/consultations/making-vaccination-a-condition-of-deployment-in-older-adult-care-homes/making-vaccination-a-condition-of-deployment-in-older-adult-care-homes,html_publication,other,1,0,0,0,2,
/school-attendance-absence/help-with-getting-your-child-to-go-to-school,guide,services,3,1,0,0,2,
/world/coming-to-the-uk-south-africa,taxon,other,6,2,4,0,2,
/health-care-worker-visa/different-salary-requirements,guide,services,21,0,0,0,2,
/elections-in-the-uk,guide,services,8,0,0,0,2,
/agricultural-workers-rights,guide,services,29,1,1,1,2,
/education/further-and-higher-education-courses-and-qualifications,taxon,other,9,0,0,0,2,
/discrimination-your-rights/how-you-can-be-discriminated-against,guide,services,43,4,1,0,2,
/end-civil-partnership,guide,services,2,0,0,0,2,
/world/bulgaria,taxon,other,1,0,0,0,2,
/government/statistics/disability-living-allowance-alcohol-and-drugs-misuse,official_statistics,research and statistics,1,0,0,0,2,
/workplace-pensions/print,guide,services,3,0,0,0,2,
/government/publications/concession-for-temporary-employment-as-sheep-shearers-wrk26/concession-for-temporary-employment-as-sheep-shearers-wrk26--2,html_publication,other,1,0,0,0,2,
/government/statistics/personal-independence-payment-statistics-to-april-2021,official_statistics,research and statistics,2,0,1,0,2,
/government/publications/dbs-referrals-form-and-guidance/dbs-paper-referral-form-guidance,html_publication,other,7,1,0,0,2,
/welfare/universal-credit,taxon,other,3,0,0,0,2,
/foreign-travel-advice/honduras/entry-requirements,travel_advice,guidance and regulation,2,0,0,0,2,
/government/collections/hmrc-forms,document_collection,other,3,0,1,0,2,
/employers-maternity-pay-leave/notice-period,guide,services,13,2,1,0,2,
/innovator-visa/switch-to-this-visa,guide,services,4,0,0,0,2,
/guidance/civil-service-secondments-and-loans-how-to-apply,detailed_guide,guidance and regulation,11,3,0,0,2,
/government/publications/job-application-form-jobcentre-plus,form,services,1,0,0,1,2,
/government/organisations/her-majestys-prison-and-probation-service,organisation,other,7,0,4,1,2,
/guidance/national-insurance-for-workers-from-the-uk-working-in-the-eea-or-switzerland,detailed_guide,guidance and regulation,12,2,1,0,2,
/government/publications/events-recorded-in-england-wales-and-overseas/events-recorded-in-england-and-wales,html_publication,other,4,0,0,0,2,
/gwirio-eich-pensiwn-y-wladwriaeth,transaction,services,6,0,0,0,2,
/student-finance-if-you-suspend-or-leave,guide,services,7,0,0,0,2,
/government/publications/jobcentre-plus-services-for-the-armed-forces-and-their-families/armed-forces-enhanced-access-to-jobcentre-plus-services-and-armed-forces-champions,html_publication,other,2,1,1,0,2,
/tax-credits-if-moving-country-or-travelling/moving-to-the-uk,guide,services,3,0,0,0,2,
/guidance/find-out-if-you-need-an-sia-licence,detailed_guide,guidance and regulation,6,0,0,0,2,
