page path,document type,document supertype,number of sessions that visit this page,number of sessions where this page is an entrance hit,number of sessions where this page is an exit hit,number of sessions where this page is both an entrance and exit hit,tfdf_max
/government/publications/data-protection-act-dpa-information-hm-revenue-and-customs-hold-about-you,guidance,guidance and regulation,13,1,6,0,7.0
/attendance-allowance/how-to-claim,guide,services,77,6,9,0,7.0
/browse/childcare-parenting/pregnancy-birth,mainstream_browse_page,other,98,2,2,0,7.0
/apply-direct-payments,local_transaction,services,20,3,4,0,7.0
/graduate-visa/documents-youll-need-to-apply,guide,services,19,1,1,0,7.0
/government/organisations/pension-service,organisation,other,68,3,47,2,7.0
/topic/further-education-skills/vocational-qualifications,topic,other,91,23,1,7,7.0
/find-dbs-umbrella-body,transaction,services,192,77,8,1,7.0
/new-state-pension/youve-been-in-a-workplace-personal-or-stakeholder-pension,guide,services,260,25,3,0,7.0
/government/publications/universal-credit-different-earning-patterns-and-your-payments/universal-credit-different-earning-patterns-and-your-payments-payment-cycles,html_publication,other,19,2,2,0,7.0
/run-business-from-home,answer,services,17,1,1,0,7.0
/report-problem-criminal-record-certificate/appeal-against-an-existing-barring-decision,guide,services,24,11,0,0,7.0
/government/publications/identity-proofing-and-verification-of-an-individual,guidance,guidance and regulation,20,2,4,0,7.0
/income-support/report-a-change-of-circumstances,guide,services,54,10,12,0,7.0
/student-visa/extend-your-visa,guide,services,31,4,3,0,7.0
/maternity-paternity-calculator,smart_answer,services,29,11,2,1,7.0
/carers-allowance-report-change,transaction,services,58,12,4,0,7.0
/flexible-working/applying-for-flexible-working,guide,services,39,3,1,0,7.0
/child-tax-credit/how-to-claim,guide,services,33,3,3,0,7.0
/government/publications/universal-credit-and-rented-housing--2/universal-credit-and-rented-housing-guide-for-landlords,html_publication,other,13,2,2,0,7.0
/self-assessment-ready-reckoner,transaction,services,22,6,0,0,7.0
/browse/employing-people/time-off,mainstream_browse_page,other,152,20,8,2,7.0
/guidance/tax-professional-development-programme,detailed_guide,guidance and regulation,65,14,15,3,7.0
/solve-workplace-dispute/formal-procedures,guide,services,31,9,1,0,6.0
/government/publications/dbs-certificate-disputes-and-fingerprint-consent-forms-and-guidance-af14-af15,form,services,70,18,6,1,6.0
/parental-rights-responsibilities,guide,services,8,1,0,0,6.0
/report-problem-criminal-record-certificate/dispute-a-mistake,guide,services,116,25,8,5,6.0
/browse/employing-people/trade-unions,mainstream_browse_page,other,56,3,2,0,6.0
/biometric-residence-permits/personal-data,guide,services,87,9,4,0,6.0
/guidance/claim-for-wages-through-the-coronavirus-job-retention-scheme,detailed_guide,guidance and regulation,39,5,7,2,6.0
/guidance/traineeship-information-for-employers,detailed_guide,guidance and regulation,50,10,8,1,6.0
/government/publications/new-guidance-on-the-rehabilitation-of-offenders-act-1974,guidance,guidance and regulation,147,8,98,22,6.0
/browse/driving/disability-health-condition,mainstream_browse_page,other,30,1,0,0,6.0
/apply-for-primary-school-place,local_transaction,services,14,4,0,0,6.0
/sold-bought-vehicle,simple_smart_answer,services,41,7,12,3,6.0
